Year,Month,EMS-Re,EMS-Rs,HEM-Re PI,HEM-Re FCRN,HEM-Rs,No. of studies
1991,11,54.522144,35.49297753,NaN,NaN,NaN,1
1991,12,41.038704,22.62567383,NaN,NaN,NaN,0
1992,1,32.03856,16.37385737,NaN,NaN,NaN,0
1992,2,29.283264,13.39738608,NaN,NaN,NaN,0
1992,3,36.399744,14.55967529,NaN,NaN,NaN,0
1992,4,47.036016,18.01389873,NaN,NaN,NaN,1
1992,5,102.734496,44.97757027,NaN,NaN,NaN,1
1992,6,131.581728,70.68103125,NaN,NaN,NaN,1
1992,7,144.161136,169.8228783,NaN,NaN,NaN,1
1992,8,136.017936,210.8793229,NaN,NaN,NaN,1
1992,9,121.151376,176.1586787,NaN,NaN,NaN,1
1992,10,85.902336,83.04041915,NaN,NaN,NaN,1
1992,11,56.223936,39.6120217,NaN,NaN,NaN,1
1992,12,84.071664,24.8570726,NaN,NaN,NaN,0
1993,1,99.059328,16.68180885,NaN,NaN,NaN,0
1993,2,89.699616,12.84077962,NaN,NaN,NaN,0
1993,3,54.114912,14.40802656,NaN,NaN,NaN,0
1993,4,63.811296,22.18226327,NaN,NaN,NaN,1
1993,5,134.494272,48.9253261,NaN,NaN,NaN,1
1993,6,139.54464,72.22503008,NaN,NaN,NaN,1
1993,7,127.94112,125.5383137,NaN,NaN,NaN,1
1993,8,141.946272,122.9437103,NaN,NaN,NaN,1
1993,9,126.457056,98.40936828,NaN,NaN,NaN,1
1993,10,82.833696,53.20895153,NaN,NaN,NaN,1
1993,11,74.671056,31.20565815,NaN,NaN,NaN,1
1993,12,45.95472,21.34131425,NaN,NaN,NaN,0
1994,1,29.127024,15.81381262,NaN,NaN,NaN,0
1994,2,31.32144,14.06584386,NaN,NaN,NaN,0
1994,3,48.828816,15.67911487,NaN,NaN,NaN,0
1994,4,87.344064,24.9824915,NaN,NaN,NaN,1
1994,5,139.129632,46.90663706,NaN,NaN,NaN,1
1994,6,151.821936,95.91531321,NaN,NaN,NaN,1
1994,7,149.6916,189.6955481,NaN,NaN,NaN,1
1994,8,128.770128,176.4991119,NaN,NaN,NaN,1
1994,9,101.000736,105.1254677,NaN,NaN,NaN,1
1994,10,73.174464,62.05047145,NaN,NaN,NaN,1
1994,11,78.007824,41.86676801,NaN,NaN,NaN,1
1994,12,45.4212,22.23169848,NaN,NaN,NaN,0
1995,1,33.033888,18.42353267,NaN,NaN,NaN,0
1995,2,25.063776,13.71201535,NaN,NaN,NaN,0
1995,3,49.435488,17.26938915,NaN,NaN,NaN,0
1995,4,64.927584,24.87702791,NaN,NaN,NaN,0
1995,5,104.439888,46.66559966,NaN,NaN,NaN,0
1995,6,140.340672,86.90169076,NaN,NaN,NaN,7
1995,7,151.49736,149.4088972,NaN,NaN,NaN,7
1995,8,114.97536,164.3231848,NaN,NaN,NaN,7
1995,9,82.3464,100.9025016,NaN,NaN,NaN,7
1995,10,97.723584,76.65085463,NaN,NaN,NaN,7
1995,11,62.77896,33.50096055,NaN,NaN,NaN,7
1995,12,45.958032,21.85371893,NaN,NaN,NaN,6
1996,1,39.209328,19.2913076,NaN,NaN,NaN,0
1996,2,38.860992,14.6324473,NaN,NaN,NaN,0
1996,3,50.57712,15.38623842,NaN,NaN,NaN,0
1996,4,70.139232,23.99563015,NaN,NaN,NaN,7
1996,5,126.4572,48.01705655,NaN,NaN,NaN,7
1996,6,163.522224,88.42386085,NaN,NaN,NaN,9
1996,7,197.023104,137.9893099,NaN,NaN,NaN,9
1996,8,141.71616,157.653834,NaN,NaN,NaN,9
1996,9,103.516704,109.0793257,NaN,NaN,NaN,9
1996,10,82.978848,55.47731586,NaN,NaN,NaN,9
1996,11,63.69408,32.0862997,NaN,NaN,NaN,9
1996,12,55.343376,21.77365215,NaN,NaN,NaN,8
1997,1,46.640736,15.96816724,NaN,NaN,NaN,7
1997,2,38.4984,12.7344442,NaN,NaN,NaN,2
1997,3,52.591536,14.43234741,NaN,NaN,NaN,8
1997,4,60.626448,20.34152557,NaN,NaN,NaN,9
1997,5,117.177984,40.03194199,NaN,NaN,NaN,9
1997,6,149.394384,73.48328327,NaN,NaN,NaN,9
1997,7,189.449856,124.5931462,NaN,NaN,NaN,10
1997,8,163.82232,127.1783125,NaN,NaN,NaN,10
1997,9,144.48744,93.02223583,NaN,NaN,NaN,10
1997,10,103.044096,52.64631135,NaN,NaN,NaN,10
1997,11,97.631568,29.29081998,NaN,NaN,NaN,10
1997,12,76.179312,17.61254434,NaN,NaN,NaN,9
1998,1,32.9688,16.3921716,NaN,NaN,NaN,9
1998,2,27.482976,14.49724595,NaN,NaN,NaN,6
1998,3,45.107424,16.35979169,NaN,NaN,NaN,8
1998,4,69.10704,28.25577749,NaN,NaN,NaN,10
1998,5,133.58664,57.23931401,NaN,NaN,NaN,10
1998,6,127.054368,84.5660124,NaN,NaN,NaN,9
1998,7,152.005536,128.4294241,NaN,NaN,NaN,9
1998,8,143.618544,144.6120667,NaN,NaN,NaN,9
1998,9,112.877568,111.3670028,NaN,NaN,NaN,9
1998,10,86.539968,68.81550078,NaN,NaN,NaN,8
1998,11,74.337552,31.76209058,NaN,NaN,NaN,8
1998,12,51.465456,23.93742036,NaN,NaN,NaN,8
1999,1,31.670064,17.11282483,NaN,NaN,NaN,6
1999,2,32.168592,14.26038684,NaN,NaN,NaN,5
1999,3,44.13312,14.84865752,NaN,NaN,NaN,5
1999,4,65.491056,24.17613885,NaN,NaN,NaN,9
1999,5,115.566192,50.50879386,NaN,NaN,NaN,9
1999,6,162.79128,82.60033047,NaN,NaN,NaN,9
1999,7,199.642752,150.9411371,NaN,NaN,NaN,9
1999,8,149.969664,149.6438116,NaN,NaN,NaN,9
1999,9,158.330016,139.5032208,NaN,NaN,NaN,9
1999,10,89.5644,78.64500015,NaN,NaN,NaN,9
1999,11,82.535328,42.81041961,NaN,NaN,NaN,8
1999,12,56.547936,25.00354629,NaN,NaN,NaN,6
2000,1,42.487056,16.89703293,NaN,NaN,NaN,6
2000,2,39.134592,14.9105631,NaN,NaN,NaN,4
2000,3,52.296912,19.02720539,NaN,NaN,NaN,1
2000,4,71.005824,26.81284449,NaN,NaN,NaN,8
2000,5,158.160096,51.92404452,NaN,NaN,NaN,8
2000,6,165.900096,75.66419851,NaN,NaN,NaN,8
2000,7,168.668208,113.7561228,NaN,NaN,NaN,8
2000,8,164.101824,135.5110603,NaN,NaN,NaN,8
2000,9,139.366512,110.6976916,NaN,NaN,NaN,8
2000,10,92.923488,58.42372763,NaN,NaN,NaN,8
2000,11,58.2012,32.06213973,NaN,NaN,NaN,7
2000,12,33.25176,15.64165614,NaN,NaN,NaN,5
2001,1,37.791072,14.09688212,NaN,NaN,NaN,3
2001,2,41.226768,13.43697862,NaN,NaN,NaN,3
2001,3,48.17304,16.12282867,NaN,NaN,NaN,1
2001,4,77.548464,18.46989598,NaN,NaN,NaN,7
2001,5,151.040304,47.85211653,NaN,NaN,NaN,6
2001,6,164.389536,86.83584312,NaN,NaN,NaN,6
2001,7,175.118688,101.5102788,NaN,NaN,NaN,6
2001,8,161.075664,129.9226975,NaN,NaN,NaN,3
2001,9,126.037152,96.05082604,NaN,NaN,NaN,5
2001,10,87.381792,62.34763725,NaN,NaN,NaN,6
2001,11,83.070144,30.47706114,NaN,NaN,NaN,6
2001,12,59.219136,22.76274057,NaN,NaN,NaN,5
2002,1,42.981408,15.11836418,NaN,NaN,NaN,2
2002,2,41.547168,13.74343904,NaN,NaN,NaN,2
2002,3,58.817232,20.3129134,NaN,NaN,NaN,1
2002,4,89.103888,41.61998786,NaN,NaN,NaN,6
2002,5,136.042992,53.99256592,NaN,NaN,NaN,8
2002,6,151.110144,85.47210156,NaN,NaN,NaN,5
2002,7,194.45616,134.6626818,NaN,NaN,NaN,5
2002,8,165.482208,146.1251385,NaN,NaN,NaN,8
2002,9,143.7516,102.522137,NaN,NaN,NaN,8
2002,10,91.452528,60.12398295,NaN,NaN,NaN,8
2002,11,70.602192,28.38250555,NaN,NaN,NaN,5
2002,12,58.646592,19.95635879,NaN,NaN,NaN,1
2003,1,45.98136,18.77144597,NaN,NaN,NaN,3
2003,2,44.33328,15.7374629,NaN,NaN,NaN,3
2003,3,50.269104,19.29070175,NaN,NaN,NaN,2
2003,4,66.367872,26.77787547,NaN,NaN,NaN,10
2003,5,111.237408,52.27213599,NaN,NaN,NaN,11
2003,6,181.260432,82.29539424,NaN,NaN,NaN,12
2003,7,219.708288,129.7391579,NaN,NaN,NaN,12
2003,8,183.573504,167.5948251,NaN,NaN,NaN,13
2003,9,128.70504,117.4386612,NaN,NaN,NaN,13
2003,10,111.380832,60.09771998,NaN,NaN,NaN,12
2003,11,111.40776,33.19608567,NaN,NaN,NaN,12
2003,12,70.255584,18.11260262,NaN,NaN,NaN,1
2004,1,44.296416,14.86795903,NaN,NaN,14.16503971,2
2004,2,46.923408,13.58868073,NaN,NaN,12.94735297,0
2004,3,52.537824,15.64176534,NaN,NaN,14.90048381,5
2004,4,97.221744,30.89328066,NaN,NaN,29.28111085,9
2004,5,159.12936,67.33150806,NaN,NaN,63.46926427,12
2004,6,152.70912,87.17575177,NaN,NaN,81.98753008,12
2004,7,172.569024,123.0624176,172.12824,210.7357905,115.4315925,13
2004,8,157.68072,138.4222964,197.64432,208.3019273,129.6930565,12
2004,9,131.810112,107.9393238,155.85912,150.0284901,101.3312124,10
2004,10,97.511904,61.17932197,67.0032,79.09498495,57.74542246,9
2004,11,77.812992,30.96928367,31.8816,34.82033097,29.37844761,5
2004,12,57.300624,17.18594405,17.91288,8.737500089,16.36274219,5
2005,1,22.057488,13.9495985,9.08064,7.905646818,13.29238299,0
2005,2,28.119744,13.0038496,5.47992,5.786535918,12.38983047,3
2005,3,33.353424,14.10682046,11.08728,11.65390622,13.44116608,2
2005,4,18.153504,28.11185895,47.00592,33.17690968,26.66843861,8
2005,5,17.92584,44.70242396,64.32696,65.29864144,42.26875282,7
2005,6,141.40656,93.53921702,169.7099791,164.6873272,87.90677817,12
2005,7,224.30088,140.1095811,200.9296608,190.8082705,131.2555561,13
2005,8,157.424256,155.0923755,NaN,190.1706637,145.1585364,12
2005,9,44.70336,123.2630611,NaN,155.4756786,115.5777567,11
2005,10,56.180304,71.33326558,63.30312,69.10937201,67.21359437,5
2005,11,50.117616,36.70364322,38.50848,32.53726165,34.7824278,4
2005,12,32.083344,21.98909363,9.85176,10.64985213,20.91745093,2
2006,1,44.058816,19.93704552,9.69624,9.814959343,18.97820903,2
2006,2,34.87536,15.60293715,8.73072,5.66305923,14.85887638,0
2006,3,30.874176,16.14422043,12.46104,8.248579153,15.3774814,4
2006,4,39.159072,31.18261635,41.67504,39.51475792,29.57524154,8
2006,5,119.87568,51.23149272,58.2336,57.90461866,48.39393599,9
2006,6,230.512176,88.03162856,109.296,132.1562883,82.7767156,13
2006,7,215.202528,145.9598487,271.4484093,219.087485,136.6893622,14
2006,8,159.43824,136.6391774,215.9892,178.5191585,128.0278036,14
2006,9,123.808608,93.16602069,180.42048,154.3307853,87.58203787,11
2006,10,84.228768,58.8973121,77.93928,66.35752388,55.60716503,12
2006,11,54.1728,41.01880376,33.75216,33.66569802,38.84781254,10
2006,12,60.802704,27.10773467,22.25664,20.65443506,25.76037094,6
2007,1,33.386688,18.89302973,15.45654951,10.48518968,17.98409539,2
2007,2,30.71952,12.59450775,10.3622544,3.715413871,12.00121137,3
2007,3,62.232624,14.95664116,19.97387861,10.48893164,14.24965396,4
2007,4,106.64568,18.23443456,31.73796127,32.01700027,17.33285167,1
2007,5,180.736272,49.69973903,91.652256,89.33319741,46.95179519,12
2007,6,129.390912,81.50783787,151.1994384,114.0959059,76.708709,12
2007,7,192.000672,121.6604236,NaN,166.581936,114.1183416,12
2007,8,117.6768,136.3111932,NaN,178.2043157,127.7227274,12
2007,9,92.042352,93.29783826,66.14750618,82.16036501,87.70023906,11
2007,10,87.800976,79.24839567,52.087752,62.9286616,74.65205888,11
2007,11,25.70184,32.73887904,12.274848,19.01896737,31.04683057,10
2007,12,26.577072,20.53896762,7.87644,6.790845898,19.5459568,1
2008,1,25.92864,19.94338391,NaN,15.95768907,18.98444804,4
2008,2,22.249296,17.21651055,NaN,8.005041979,16.39318039,4
2008,3,20.316096,18.27568013,NaN,18.68934506,17.40209733,3
2008,4,33.44328,30.22216678,NaN,34.83294784,28.65652834,7
2008,5,52.88544,46.46754701,NaN,74.83080875,43.92913421,8
2008,6,226.804752,82.65114224,NaN,156.0849783,77.7703504,5
2008,7,187.659072,131.1862125,NaN,183.5853367,122.9829611,4
2008,8,159.004944,122.2400456,NaN,190.8221194,114.6738748,4
2008,9,102.437136,104.6124426,NaN,207.9727954,98.23392915,4
2008,10,78.279696,63.31002247,NaN,93.24349438,59.74622554,3
2008,11,27.65016,37.59279645,NaN,42.43952642,35.61312144,3
2008,12,51.406272,21.72336043,NaN,22.28469131,20.66858983,1
2009,1,71.97984,17.72550578,NaN,7.465765542,16.8795876,1
2009,2,53.210304,15.95778864,NaN,7.647159644,15.19645145,1
2009,3,44.76384,19.28963737,NaN,16.2738389,18.3636995,1
2009,4,85.319136,32.94519205,NaN,44.84049825,31.22708519,3
2009,5,145.345968,57.99587907,NaN,113.6445594,54.74365868,2
2009,6,188.1792,76.31558075,NaN,138.0135126,71.85835101,4
2009,7,204.551568,116.9721198,NaN,176.5276503,109.7608799,4
2009,8,208.916064,156.7740017,NaN,99.41758982,146.7055097,4
2009,9,161.440128,96.3590368,NaN,95.0966073,90.55101625,4
2009,10,137.220048,57.84394756,NaN,77.41104516,54.61995707,3
2009,11,70.303248,41.77834009,NaN,46.19804881,39.56694886,2
2009,12,84.973968,24.06398724,NaN,25.11998917,22.87888887,0
